date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:58	4489/4489	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/sponsors-andersen.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/sponsors-andersen.jpg	(from https://www.srsexteriors.com/)
18:22:58	27689/27689	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:57%20GMT	https://www.srsexteriors.com/contact-us/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/contact-us/index.html	(from https://www.srsexteriors.com/)
18:22:58	35144/35144	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:57%20GMT	https://www.srsexteriors.com/offers/warranty/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/offers/warranty/index.html	(from https://www.srsexteriors.com/)
18:22:59	49287/49287	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:57%20GMT	https://www.srsexteriors.com/reviews/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/reviews/index.html	(from https://www.srsexteriors.com/)
18:22:59	35497/35497	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:57%20GMT	https://www.srsexteriors.com/offers/financing/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/offers/financing/index.html	(from https://www.srsexteriors.com/)
18:22:59	2903/2903	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/sponsors-angies.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/sponsors-angies.jpg	(from https://www.srsexteriors.com/)
18:23:00	43511/43511	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:58%20GMT	https://www.srsexteriors.com/service-areas/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/service-areas/index.html	(from https://www.srsexteriors.com/)
18:23:00	24719/24719	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:59%20GMT	https://www.srsexteriors.com/customer-service/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/customer-service/index.html	(from https://www.srsexteriors.com/)
18:23:00	3982/3982	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/sponsors-gaf.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/sponsors-gaf.jpg	(from https://www.srsexteriors.com/)
18:23:00	46474/46474	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:22:59%20GMT	https://www.srsexteriors.com/offers/video-quote/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/offers/video-quote/index.html	(from https://www.srsexteriors.com/)
18:23:01	2753/2753	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/sponsors-homeadvisor.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/sponsors-homeadvisor.jpg	(from https://www.srsexteriors.com/)
18:23:01	3068/3068	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/sponsors-marvin.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/sponsors-marvin.jpg	(from https://www.srsexteriors.com/)
18:23:01	36210/36210	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/service-roofreplace.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/service-roofreplace.jpg	(from https://www.srsexteriors.com/)
18:23:02	11927/11927	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/service-roofreplace-hover.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/service-roofreplace-hover.jpg	(from https://www.srsexteriors.com/)
18:23:02	29314/29314	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/service-sidingreplace.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/service-sidingreplace.jpg	(from https://www.srsexteriors.com/)
18:23:02	11700/11700	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/service-sidingreplace-hover.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/service-sidingreplace-hover.jpg	(from https://www.srsexteriors.com/)
18:23:03	32233/32233	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/service-windowreplace.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/service-windowreplace.jpg	(from https://www.srsexteriors.com/)
18:23:03	13112/13112	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/service-windowreplace-hover.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/service-windowreplace-hover.jpg	(from https://www.srsexteriors.com/)
18:23:03	22264/22264	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/service-gutters.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/service-gutters.jpg	(from https://www.srsexteriors.com/)
18:23:04	8595/8595	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/service-gutters-hover.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/service-gutters-hover.jpg	(from https://www.srsexteriors.com/)
18:23:04	21923/21923	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/service-storm.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/service-storm.jpg	(from https://www.srsexteriors.com/)
18:23:04	8521/8521	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/service-storm-hover.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/service-storm-hover.jpg	(from https://www.srsexteriors.com/)
18:23:05	273081/273081	---M--	200	added ('OK')	image/jpeg	etag:0x8D7527B4EF9046C	https://cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/gallery/original/dbdcec7c-60ca-4ca2-8790-efd13cf05193.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/gallery/original/dbdcec7c-60ca-4ca2-8790-efd13cf05193.jpg	(from https://www.srsexteriors.com/)
18:23:05	1288/1288	---M--	200	added ('OK')	image/png	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/ph-rectangle.png	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/ph-rectangle.png	(from https://www.srsexteriors.com/)
18:23:06	346645/346645	---M--	200	added ('OK')	image/jpeg	etag:0x8D7527B63C36D3F	https://cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/gallery/original/eb32dea3-a409-47a3-bce1-12c9a8599ca7.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/gallery/original/eb32dea3-a409-47a3-bce1-12c9a8599ca7.jpg	(from https://www.srsexteriors.com/)
18:23:06	250893/250893	---M--	200	added ('OK')	image/jpeg	etag:0x8D7527B756860C1	https://cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/gallery/original/64bb6cdf-69db-4566-b24d-6d9713d81446.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/gallery/original/64bb6cdf-69db-4566-b24d-6d9713d81446.jpg	(from https://www.srsexteriors.com/)
18:23:06	223852/223852	---M--	200	added ('OK')	image/jpeg	etag:0x8D7527B817617B9	https://cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/gallery/original/614d6959-5018-47e9-b2f4-f5d02fbc5f54.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/gallery/original/614d6959-5018-47e9-b2f4-f5d02fbc5f54.jpg	(from https://www.srsexteriors.com/)
18:23:06	45320/45320	---M--	200	added ('OK')	image/jpeg	etag:%2204772516b2d61:0%22	https://www.srsexteriors.com/img/home/areas-map.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/img/home/areas-map.jpg	(from https://www.srsexteriors.com/)
18:23:07	28466/28466	---M--	200	added ('OK')	image/x-png	etag:0x8D7CAAE0839ADE8	https://cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/exit-intent/logo/5ecc8f7c-1607-49b6-9d1f-1998c7499618.png	C:/Users/abe/Desktop/Yak/srs/srsexteriors/cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/exit-intent/logo/5ecc8f7c-1607-49b6-9d1f-1998c7499618.png	(from https://www.srsexteriors.com/)
18:23:07	35753/35753	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:23:05%20GMT	https://www.srsexteriors.com/offers/installation/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/offers/installation/index.html	(from https://www.srsexteriors.com/)
18:23:07	44402/44402	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:23:06%20GMT	https://www.srsexteriors.com/aurora/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/aurora/index.html	(from https://www.srsexteriors.com/)
18:23:08	44852/44852	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:23:06%20GMT	https://www.srsexteriors.com/service-areas/arlington-heights/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/service-areas/arlington-heights/index.html	(from https://www.srsexteriors.com/)
18:23:08	40452/40452	---M--	200	added ('OK')	image/jpeg	etag:0x8D7CAAE19703092	https://cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/exit-intent/image/e97b73d5-daeb-4a61-a912-801824aa6f4e.jpg	C:/Users/abe/Desktop/Yak/srs/srsexteriors/cmsplatform.blob.core.windows.net/wwwsrsexteriorscom/exit-intent/image/e97b73d5-daeb-4a61-a912-801824aa6f4e.jpg	(from https://www.srsexteriors.com/)
18:23:09	43202/43202	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:23:07%20GMT	https://www.srsexteriors.com/service-areas/carol-stream/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/service-areas/carol-stream/index.html	(from https://www.srsexteriors.com/)
18:23:09	44651/44651	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:23:07%20GMT	https://www.srsexteriors.com/service-areas/buffalo-grove/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/service-areas/buffalo-grove/index.html	(from https://www.srsexteriors.com/)
18:23:10	44177/44177	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Jan%202021%2000:23:08%20GMT	https://www.srsexteriors.com/chicago/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/chicago/index.html	(from https://www.srsexteriors.com/)
18:23:10	158/158	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Jan%202021%2000:23:06%20GMT	https://www.srsexteriors.com/service-areas/bolingbrook/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/service-areas/bolingbrook/index.html	(from https://www.srsexteriors.com/)
18:23:10	160/160	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Jan%202021%2000:23:09%20GMT	https://www.srsexteriors.com/service-areas/downers-grove/	C:/Users/abe/Desktop/Yak/srs/srsexteriors/www.srsexteriors.com/service-areas/downers-grove/index.html	(from https://www.srsexteriors.com/)
